Plant,Rep,Model,Tracker,FrameBasedIOU,MultiObjectTrackingPrecision,IDSwitches,FalsePositives,MultiObjectTrackingAccuracy,GroundTruthMasksCount,FalseNegatives
Ba5-1,rep_07,yolo_v8,ByteTrack,0.8084958149246612,0.8555905286240327,3,30,0.7917981072555205,317,33
Ba5-1,rep_07,yolo_v8,DeepOcSort,0.8138634900240188,0.8481032316410166,4,30,0.8296529968454258,317,20
Ba5-1,rep_07,yolo_v8,StrongSort,0.748861166953208,0.8627566448645853,1,28,0.750788643533123,317,50
Ba5-1,rep_07,yolo_v11,ByteTrack,0.8108373656128278,0.8530941386854924,3,29,0.8170347003154574,317,26
Ba5-1,rep_07,yolo_v11,DeepOcSort,0.8146811385916826,0.8507516187974545,4,32,0.8264984227129337,317,19
Ba5-1,rep_07,yolo_v11,StrongSort,0.7545084458481892,0.8583688507613799,1,28,0.77602523659306,317,42
Ba5-1,rep_07,sam2,ByteTrack,0.8330760901140974,0.8971216162622206,6,30,0.7697160883280757,317,37
Ba5-1,rep_07,sam2,DeepOcSort,0.8371043119574053,0.8961333375864456,4,29,0.7886435331230284,317,34
Ba5-1,rep_07,sam2,StrongSort,0.7712005085854355,0.9098667696209706,2,28,0.7066246056782335,317,63
Ba5-1,rep_07,detectron2,ByteTrack,0.0,0.0,0,0,0.0,31,31
Ba5-1,rep_07,detectron2,DeepOcSort,0.0,0.0,0,0,0.0,31,31
Ba5-1,rep_07,detectron2,StrongSort,0.0,0.0,0,0,0.0,31,31
Col-0,rep_30,yolo_v8,ByteTrack,0.8211945554370941,0.8513274210483446,6,64,0.8425787106446776,667,35
Col-0,rep_30,yolo_v8,DeepOcSort,0.8217536422882762,0.8465553948528178,24,64,0.8290854572713643,667,26
Col-0,rep_30,yolo_v8,StrongSort,0.7966843218265588,0.8524668214616601,4,57,0.8365817091454273,667,48
Col-0,rep_30,yolo_v11,ByteTrack,0.8207245259488417,0.8480607198656714,9,65,0.841079460269865,667,32
Col-0,rep_30,yolo_v11,DeepOcSort,0.8218271189546339,0.8455491394980215,18,71,0.8290854572713643,667,25
Col-0,rep_30,yolo_v11,StrongSort,0.7948048402777503,0.8509951447220456,9,60,0.823088455772114,667,49
Col-0,rep_30,sam2,ByteTrack,0.8393727669814832,0.8784910198570696,6,57,0.848575712143928,667,38
Col-0,rep_30,sam2,DeepOcSort,0.8404154975426589,0.8777703737114617,9,58,0.848575712143928,667,34
Col-0,rep_30,sam2,StrongSort,0.8137179592606236,0.8818979274682263,1,52,0.8350824587706147,667,57
Col-0,rep_30,detectron2,ByteTrack,0.0,0.0,0,0,0.0,74,74
Col-0,rep_30,detectron2,DeepOcSort,0.0,0.0,0,0,0.0,74,74
Col-0,rep_30,detectron2,StrongSort,0.0,0.0,0,0,0.0,74,74
